X,Y,displacement_x,displacement_y,displacement_z
105.26629072681703,-518.05,8.572040364756788e-19,-9.617820977638063e-18,3.4743194110085795e-19
107.77255639097746,-518.05,2.2534104990014128e-18,-2.6065191036767582e-17,1.2568079430438512e-18
110.27882205513777,-518.05,3.671408307628283e-18,-4.3685316254854255e-17,2.9437148484982366e-18
112.78508771929819,-518.05,2.064175541482473e-18,-1.8354762338112006e-17,1.0459539851628832e-18
115.29135338345861,-518.05,4.636801868137561e-18,-4.518151613949429e-17,4.116711395257525e-18
117.79761904761904,-518.05,6.661478724180618e-18,-7.165503476157338e-17,8.818360934579816e-18
120.30388471177946,-518.05,7.841330656078218e-18,-9.435793434228593e-17,1.4290835030348287e-17
122.81015037593977,-518.05,4.661949321523806e-18,-5.984066451784953e-17,7.870675041997006e-18
125.3164160401002,-518.05,1.809108032294371e-18,-2.4039392179559154e-17,2.468752741418064e-18
127.82268170426062,-518.05,1.7097080198953702e-19,-2.028830891949289e-18,2.020085889660174e-18
130.32894736842104,-518.05,5.354707922021191e-18,-8.121112441890566e-17,-1.1885148399347829e-17
132.83521303258146,-518.05,7.109756921685297e-18,-1.1261811286292617e-16,-8.987019954439954e-18
135.34147869674177,-518.05,6.816796759403899e-19,-1.1174832619287833e-17,-1.43633575983213e-18
137.8477443609022,-518.05,1.3559428138591475e-18,-2.5039177946983232e-17,-4.415470005060266e-18
140.35401002506262,-518.05,1.8114807048407127e-18,-3.8338379666847856e-17,-9.154760618546709e-18
142.86027568922304,-518.05,1.553017912079295e-18,-6.231496927926177e-17,5.895777189152023e-18
145.36654135338347,-518.05,2.2579295614418656e-19,-9.382538789616404e-18,8.967127247803705e-19
147.87280701754378,-518.05,6.495880928343487e-19,-2.8700348164744885e-17,2.782225203575614e-18
150.3790726817042,-518.05,4.3074443300317425e-20,-2.5068078950283974e-18,2.5233750870953037e-19
152.88533834586462,-518.05,5.739846584292288e-19,-4.837324456515975e-17,5.372569592966589e-18
155.39160401002505,-518.05,4.632897829788886e-19,-4.7695802118701784e-17,5.511973202464869e-18
157.89786967418547,-518.05,4.116844315462209e-19,-2.2390301495313253e-17,2.639083851809327e-18
160.40413533834578,-518.05,-2.7073320591569868e-20,-9.799343931061518e-18,1.1174571957926857e-18
162.9104010025062,-518.05,-2.7145120086503424e-19,-4.555240496710382e-17,4.850171462969037e-18
165.41666666666663,-518.05,-7.409096155987259e-19,-8.083346677092429e-17,6.575733190024972e-18
167.92293233082705,-518.05,1.8424099672120927e-19,-1.1698825148405889e-17,1.2778685106380498e-18
170.42919799498748,-518.05,1.4784491469788765e-19,-4.751705400946953e-17,5.682215215735063e-18
172.93546365914779,-518.05,-7.918015870769275e-19,-8.424652415325116e-17,1.1117949066071963e-17
175.4417293233082,-518.05,-3.9752215979046737e-19,-8.88676467903428e-18,1.0529368918530897e-18
